yearOpened,nday,zipcode,longitude,latitude,case#
2013,35,02131,-71.119144,42.296253,101000837674
2013,35,02126,-71.08272,42.26999,101000837678
2013,35,02124,-71.06773,42.28994,101000837680
2013,35,02643,-71.058252,42.287079,101000837681
2013,35,02124,-71.08269,42.2876,101000837685
2013,35,02643,-71.109291,42.324836,101000837689
2013,35,02127,-71.044963,42.332887,101000837691
2013,35,02125,-71.0674,42.31024,101000837693
2013,35,02643,-71.10403,42.34642,101000837695
2013,36,02128,-71.038468,42.365096,101000837910
2013,36,02132,-71.169823,42.275015,101000837911
2013,36,02643,-71.126595,42.286835,101000837913
2013,36,02643,-71.13529,42.358816,101000837915
2013,37,02643,-71.07165,42.34581,101000841857
2013,37,02643,-71.0587,42.3594,101000841858
2013,37,02210,-71.046974,42.35045,101000841859
2013,37,02124,-71.06322,42.29048,101000841861
2013,37,02643,-71.0587,42.3594,101000841862
2013,37,02129,-71.06459,42.37502,101000841864
2013,37,02118,-71.07429,42.34013,101000841865
2013,37,02643,-71.14701,42.27257,101000841876
2013,38,02643,-71.13579,42.35192,101000842127
2013,38,02643,-71.069754,42.31773,101000842129
2013,38,02643,-71.13404,42.36123,101000842130
2013,38,02643,-71.00086,42.38565,101000842135
2013,38,02126,-71.07812,42.27185,101000842137
2013,38,02643,-71.07311,42.3454,101000842139
2013,39,02643,-71.033226,42.364661,101000846548
2013,39,02130,-71.0587,42.3594,101000846549
2013,39,02643,-71.14277,42.25416,101000846551
2013,39,02120,-71.10934,42.33166,101000846553
2013,39,02643,-71.128665,42.289611,101000846555
2013,39,02127,-71.04643,42.33751,101000846558
2013,39,02643,-71.06967,42.34672,101000846562
2013,39,02130,-71.121398,42.321833,101000846564
2013,39,02130,-71.0587,42.3594,101000846565
2013,39,02134,-71.14181,42.353,101000846566
2013,39,02643,-71.108811,42.300998,101000846567
2013,39,02124,-71.04941,42.28039,101000846568
2013,39,02124,-71.04941,42.28039,101000846569
2013,39,02643,-71.05652,42.28762,101000846571
2013,40,02643,-71.062945,42.377939,101000846769
2013,40,02643,-71.0587,42.3594,101000846770
2013,40,02132,-71.15525,42.28503,101000846773
2013,40,02130,-71.11004,42.30416,101000846774
2013,41,02215,-71.09705,42.34254,101000850603
2013,41,02124,-71.069238,42.297902,101000850605
2013,41,02125,-71.053318,42.311633,101000850607
2013,41,02135,-71.14959,42.3384,101000850610
2013,41,02643,-71.10556,42.3123,101000850613
2013,41,02643,-71.0587,42.3594,101000850614
2013,41,02116,-71.08285,42.35019,101000850615
2013,41,02134,-71.13768,42.34806,101000850618
2013,41,02643,-71.050254,42.363289,101000850621
2013,42,02131,-71.11581,42.28742,101000850996
2013,42,02130,-71.10973,42.31637,101000850998
2013,42,02127,-71.0542,42.33612,101000851001
2013,42,02122,-71.04106,42.28639,101000851003
2013,42,02121,-71.07898,42.30734,101000851005
2013,42,02130,-71.10435,42.31997,101000851007
2013,42,02127,-71.05058,42.3328,101000851009
2013,42,02127,-71.04995,42.33261,101000851011
2013,42,02124,-71.06365,42.29091,101000851014
2013,42,02643,-71.16989,42.28102,101000851016
2013,42,02643,-71.10154,42.26478,101000851018
2013,42,02643,-71.0587,42.3594,101000851021
2013,42,02643,-71.10895,42.28604,101000851023
2013,42,02126,-71.089711,42.2821,101000851025
2013,42,02643,-71.069754,42.31773,101000851027
2013,43,02119,-71.09468,42.32038,101000855543
2013,43,02643,-71.06931,42.34901,101000855546
2013,43,02136,-71.11954,42.27048,101000855548
2013,43,02643,-71.135474,42.358845,101000855551
2013,43,02115,-71.084546,42.345902,101000855552
2013,43,02125,-71.07322,42.31236,101000855557
2013,43,02643,-71.062933,42.353458,101000855559
2013,43,02643,-71.07482,42.29737,101000855561
2013,43,02125,-71.073226,42.312365,101000855564
2013,43,02124,-71.08553,42.28665,101000855567
2013,43,02643,-71.09172,42.27247,101000855568
2013,43,02643,-71.11503,42.30015,101000855572
2013,44,02643,-71.15462,42.28863,101000855817
2013,44,02643,-71.0587,42.3594,101000855818
2013,44,02136,-71.12592,42.27132,101000855820
2013,44,02643,-71.055279,42.285483,101000855822
2013,44,02115,-71.08063,42.34387,101000855824
2013,44,02643,-71.0587,42.3594,101000855825
2013,44,02108,-71.058274,42.36042,101000855827
2013,44,02643,-71.0587,42.3594,101000855828
2013,44,02643,-71.0546,42.28586,101000855830
2013,44,02643,-71.13172,42.28616,101000855831
2013,44,02109,-71.05477,42.3678,101000855835
2013,44,02119,-71.07068,42.32936,101000855837
2013,44,02643,-71.1355,42.359238,101000855841
2013,44,02125,-71.05483,42.31642,101000855846
2013,44,02643,-71.10463,42.31531,101000855848
2013,44,02128,-71.0049,42.38754,101000855851
2013,44,02125,-71.05902,42.32189,101000855852
2013,44,02118,-71.06984,42.330696,101000855853
2013,45,02119,-71.083572,42.330336,101000860277
2013,45,02127,-71.04511,42.33414,101000860279
2013,45,02108,-71.07124,42.35747,101000860281
2013,45,02118,-71.07529,42.33678,101000860283
2013,45,02130,-71.11473,42.30601,101000860285
2013,45,02130,-71.11474,42.30604,101000860286
2013,45,02643,-71.05653,42.31208,101000860287
2013,45,02643,-71.05653,42.31208,101000860288
2013,45,02643,-70.995081,42.384556,101000860289
2013,45,02130,-71.115273,42.307917,101000860290
2013,45,02643,-71.05584,42.28372,101000860291
2013,45,02120,-71.097685,42.335061,101000860297
2013,45,02643,-71.069754,42.31773,101000860299
2013,45,02119,-71.091888,42.328472,101000860301
2013,46,02120,-71.11002,42.33254,101000860630
2013,46,02136,-71.124802,42.251683,101000860636
2013,46,02124,-71.063309,42.280867,101000860638
2013,46,02116,-71.07093,42.3464,101000860639
2013,46,02128,-71.038713,42.382127,101000860641
2013,46,02119,-71.09006,42.32718,101000860645
2013,46,02136,-71.10895,42.2629,101000860649
2013,46,02114,-71.063803,42.36044,101000860651
2013,46,02134,-71.139287,42.34773,101000860655
2013,46,02643,-71.07346,42.34565,101000860659
2013,46,02116,-71.064316,42.348943,101000860665
2013,47,02643,-71.061656,42.305093,101000865089
2013,47,02127,-71.05319,42.33566,101000865092
2013,47,02119,-71.08657,42.32648,101000865093
2013,47,02131,-71.12136,42.28598,101000865095
2013,47,02643,-71.06316,42.34259,101000865097
2013,47,02125,-71.069826,42.308073,101000865099
2013,47,02126,-71.100123,42.266916,101000865100
2013,47,02643,-71.068853,42.271392,101000865102
2013,47,02127,-71.047307,42.328774,101000865104
2013,47,02127,-71.047307,42.328774,101000865106
2013,48,02115,-71.08096,42.34363,101000865416
2013,48,02124,-71.06528,42.28114,101000865418
